,unique_id,skybg,skybgstd,x0peak,y0peak,x0col,y0col,Rp,a,b,PAdeg,InFit1D,RnFit1D,nFit1D,xsin,x0Fit2D,y0Fit2D,InFit2D,RnFit2D,nFit2D,qFit2D,PAFit2D,LT,R10,R20,R30,R40,R50,R60,R70,R80,R90,C1,C2,BGmedian,A_e,A0,A1,A3,S3,G,sigma_psi,M20,H
0,egs10142,-0.00129962,0.00697791,33.72532166,30.5138578,33.81699124,30.55462604,6.66216402,1.12912744,0.94677545,168.94898528,0.03557691,2.87240586,1.12000822,4.86153196,32.68419484,29.7340901,0.02642848,3.23319296,1.15493101,0.99999991,60.42269013,2.48875991,1.0,1.33966702,1.76116907,2.18536004,2.62716161,3.10889058,3.65832293,4.28112553,5.00275349,0.50456109,0.27972231,0.27072315,0.00277726,0.29111311,0.00091469,0.20053472,1.0137166,0.57253951,0.3911745,-1.21084949,0.77714779
1,egs10158,-0.00166708,0.00547887,30.62409329,30.6350655,30.89548334,31.35177732,8.79049792,1.51805697,1.1815753,102.94250011,0.03145104,3.5243047,0.64012817,6.92805665,29.80869284,30.12428934,0.03817113,3.75272199,0.69743955,0.54189118,104.91087034,2.88902811,1.3021667,1.80159383,2.27010482,2.75215119,3.30498811,3.95501174,4.63141123,5.40000665,6.38790057,0.47673741,0.28618825,0.17557177,0.0018831,0.12718076,0.0,0.06950835,1.00860714,0.52053402,0.08852006,-1.19873658,0.81073896
2,egs10209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,egs10239,0.00186799,0.00252713,29.5379416,31.5296361,30.73233639,32.03371058,17.0233509,4.82287726,3.21179299,37.40393635,0.04795125,8.21934728,1.53150421,1.72153285,29.24645053,31.28983871,0.04640109,8.12162721,1.52898919,0.67032487,39.00552153,24.03917611,2.29525421,3.33403247,4.36479186,5.67380131,6.87913707,8.11895499,9.71509147,11.64107836,13.8362858,0.54302339,0.30348556,0.04014354,0.00010493,0.24006591,0.12914277,0.05935013,0.14859364,0.53302046,0.12398826,-1.70848853,0.77668013
4,egs10252,0.00112459,0.00245379,31.5280548,25.49603182,33.95533972,25.65745576,16.36056462,5.61409518,2.76709207,11.66009876,0.08032792,7.37396942,0.54781535,8.41855176,31.94369854,24.65138415,0.08177306,7.63255168,0.67579442,0.42427881,12.50407625,19.58655808,2.9609128,4.14290858,5.30046217,6.21135725,7.24152225,8.33092976,9.72372872,11.2316199,13.21119854,0.43313705,0.26111235,0.03320445,0.00012498,0.36062862,0.16075571,0.13758479,0.03352787,0.46523615,0.59880014,-1.29228695,0.87752716
5,egs10265,0.00135706,0.00566185,29.51698038,32.52891054,30.86755554,32.30445619,16.04241227,5.7022969,2.8809863,154.46245397,0.19637399,7.20344577,0.52630051,8.73680733,29.30820063,31.59993404,0.2029162,7.38869498,0.61620768,0.44526644,148.4189248,46.54053937,2.77367368,4.14380369,5.0454209,6.0055304,7.01536966,8.03544925,9.34504274,10.83106005,12.92919752,0.41727179,0.26552101,0.03141778,0.00012136,0.2722916,0.15765567,0.06917221,0.0668381,0.48130217,0.35586116,-1.44083748,0.84599013
6,egs10286,0.00021257,0.00239284,32.51024215,29.508572,33.09501678,29.68853978,20.73851057,1.46480814,1.24265371,151.3542691,0.00667452,8.96356691,0.66848684,7.14150662,32.03843786,28.47062744,0.00727893,10.33045726,0.62649351,0.6000253,166.62376626,4.35979112,3.44166253,4.82996437,6.1809223,7.39204906,8.74071178,10.11435511,11.5797406,13.52160417,16.5487012,0.44708429,0.27721711,0.28410494,0.00054824,0.2510668,0.0,0.21729481,1.09051081,0.46043988,0.68104241,-1.36523835,0.91167022
7,egs10298,-0.00180974,0.00544977,31.50589746,29.56501133,31.77436089,30.49195886,10.99167871,2.39762882,1.62960733,25.42834445,0.02672581,4.55854588,0.76745523,7.25269741,30.80858769,29.44875967,0.02345597,5.73179722,1.15447553,0.46807184,29.92815022,3.72946709,1.7666982,2.39895789,2.94424449,3.56249208,4.21424963,4.8781554,5.8298022,7.03892386,8.3922729,0.46748364,0.29915934,0.16922547,0.0014543,0.13770535,0.0,0.13017001,0.86209241,0.44655192,0.1348568,-1.36781811,0.83288267
8,egs10315,0.00206662,0.00593175,32.52658739,29.54124586,32.79999718,30.37733829,23.20599289,3.60275341,2.05317081,108.19072377,0.02852023,10.20448166,2.0137121,2.84256285,31.75197596,29.4252903,0.0315417,11.5342429,1.72115437,0.41740911,108.25648879,21.88972724,2.12597063,3.58269484,4.9340384,6.39171148,8.14001489,10.12063813,12.33472238,15.11611365,18.53048505,0.62523033,0.35726159,0.13570273,0.0002705,0.1059496,0.00885751,0.07953603,0.08218089,0.53541483,0.17457224,-2.05688908,0.73329534
9,egs10429,0.00102754,0.0024142,30.51738144,30.55990837,29.83054115,31.07223089,13.40005811,4.66413581,2.65444115,16.18822391,0.08441447,5.86227046,1.0541419,3.80769776,29.98428205,30.35727629,0.07456247,6.15832211,1.52382402,0.52187029,16.45548111,17.28235643,1.75671564,3.0626512,3.67811947,4.38012201,5.33647978,6.24880534,7.41074239,8.82392416,10.51983759,0.45956423,0.29475417,0.02504652,0.00013919,0.24173455,0.14378835,0.13618397,0.11853011,0.50356486,0.14591676,-1.57896895,0.78595412
10,egs10440,0.00025376,0.00563691,31.5456245,31.50691594,32.25061831,31.73193101,9.62678766,3.68370811,2.83723392,23.28235766,0.09238425,4.63556978,0.71730122,1.92567445,31.38880752,30.73100063,0.09773471,4.55032314,0.73283358,0.74605418,22.68813891,14.07583063,1.55659256,2.33870303,2.97854743,3.58650457,4.19522233,4.82134474,5.47955952,6.30912916,7.54064564,0.43099434,0.25465355,0.06372547,0.00039877,0.16396793,0.05237522,0.05844261,0.19616812,0.47178707,0.10025079,-1.4079328,0.83361459
11,egs10464,0.00269859,0.00606452,25.50891469,31.52853285,29.25866044,32.01644928,32.25863351,6.48615987,2.05373207,178.50519773,0.04251333,15.53707365,0.6144501,6.31147519,29.00314657,31.00876748,0.04104643,19.43020928,0.66305936,0.21338505,176.4763198,29.5501858,5.82717163,8.09571364,10.38160903,12.59779911,14.92067313,17.38437966,20.05996882,23.14092704,26.55579391,0.45612561,0.25037087,0.10008378,0.00020505,0.17132087,0.02018925,0.08776233,0.02509209,0.3668067,0.55924922,-1.40712959,0.91667803
12,egs10469,0.00118339,0.00252896,29.50291864,32.52575903,29.56706988,32.96370467,12.39154788,2.14809193,1.9977615,153.76108463,0.01688499,4.92045078,1.1116191,5.30604771,28.56646013,31.9446134,0.01721536,4.97708834,1.02516067,0.86008006,154.48384239,4.07554348,1.65779558,2.44854381,3.19023759,3.91659002,4.6579648,5.51651682,6.52692818,7.95252431,9.81099585,0.51159713,0.32351689,0.15085477,0.00061882,0.08883512,0.0,0.08659828,0.71533475,0.53623159,0.10882372,-1.76531852,0.82917519
